dataset,family,graph,alpha,base_distance,sigma,gamma,eigen_index,eigenvalue_lsym,k_true,true_k_gap,predicted_k_largest_gap,graph_seconds,accuracy,ari,nmi,purity,error
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,3,0.16687002926738942,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,4,0.5237599501306467,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,5,0.5985456142351111,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,6,0.7687877207718103,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,7,0.8228173885048009,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,8,0.8374142252718781,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,9,0.8958314490884921,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,10,0.9235565222037126,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,11,0.9324951099120995,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.35,2.5571704210202393,0.8950096473570837,0.6241867869346867,12,0.9345441444656204,3,0.35688992086325727,3.0,0.005720083999989356,0.944,0.8491419604219774,0.828753033987195,0.944,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,1,2.6012343566728186e-16,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,2,0.18690480102524093,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,3,0.4060742748513396,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,4,0.7363886752254306,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,5,0.7975613305443339,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,6,0.9130664398361612,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,7,0.9429569043328163,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,8,0.9484556924687083,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,9,0.9674972139756042,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,10,0.9802254837329234,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,11,0.983697850558539,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.5,2.5571704210202393,1.2785852105101196,0.3058515255979964,12,0.990808254610648,3,0.330314400374091,3.0,0.005765917000005061,0.922,0.7974351703898968,0.7907418044138977,0.922,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,1,1.1061961997941893e-15,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7,2.5571704210202393,1.7900192947141673,0.15604669673367166,2,0.42038704347491473,3,0.2241816935816996,1.0,0.005666709000010428,0.912,0.7761313951475374,0.7773901376349587,0.912,
