dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_0136,digits,knn_rbf,3.0,4.174915680111579,12.524747040334738,0.003187367043110217,10.0,0.006706874999999002,126572,10306,0.9571823204419889,0.8946385284061508,0.9003010397967328,0.9571823204419889,0.0736634580000004,0.035505000000000564,0.11587533299999997,6.945689215077158,
digits_0136,digits,knn_rbf,5.0,4.174915680111579,20.874578400557894,0.0011474521355196784,10.0,0.019335791999999685,126572,10306,0.9571823204419889,0.8946385284061508,0.9003010397967328,0.9571823204419889,0.060281499999998545,0.028843042000000096,0.10846033399999833,6.993420134282255,
digits_all,digits,dense_rbf,0.1,9.837168335180378,0.9837168335180378,0.5166896926853478,,0.7632515420000008,25833672,3216598,0.39677239844184753,0.17452191508146248,0.5328196631872696,0.41235392320534225,1.342388209000001,0.18411645900000018,2.289756210000002,37.17930681484123,
digits_all,digits,dense_rbf,0.2,9.837168335180378,1.9674336670360757,0.12917242317133695,,0.27586945899999904,25833672,3227412,0.3639398998330551,0.20716558986514338,0.515295659467579,0.39232053422370616,0.5854324170000016,0.07337116599999938,0.934673042,20.86458514538569,
digits_all,digits,dense_rbf,0.35,9.837168335180378,3.443008917313132,0.04217875042329371,,0.25737412499999834,25833672,3227412,0.6060100166944908,0.45808778215290163,0.5804219366068726,0.6316082359488036,2.9101519590000002,0.24421283299999885,3.4117389169999974,139.51058839692652,
digits_all,digits,dense_rbf,0.5,9.837168335180378,4.918584167590189,0.02066758770741391,,0.2820400829999983,25833672,3227412,0.5598219254312743,0.3885135078010315,0.5070807287561898,0.5692821368948247,0.6984487080000008,0.30924266699999947,1.2897314579999986,134.405844395302,
digits_all,digits,dense_rbf,0.7,9.837168335180378,6.886017834626264,0.010544687605823427,,0.19372816699999973,25833672,3227412,0.6176961602671118,0.46814921170108287,0.5743019236764013,0.6432943795214245,0.7600312920000007,0.31087766699999975,1.2646371260000002,356.6110699403378,
digits_all,digits,dense_rbf,0.7071067811865475,9.837168335180378,6.955928437479625,0.010333793853706957,,0.27806012499999966,25833672,3227412,0.6221480244852532,0.4724481839653733,0.5768903242136203,0.6471897607122983,0.676437791999998,0.27605199999999996,1.2305499169999976,356.48710944869845,
digits_all,digits,dense_rbf,1.0,9.837168335180378,9.837168335180378,0.0051668969268534775,,0.19885675000000091,25833672,3227412,0.6310517529215359,0.5289478235799501,0.6344061723215793,0.6855870895937674,0.6552628750000018,0.30642891700000163,1.1605485420000043,559.9266162094971,
digits_all,digits,dense_rbf,1.4,9.837168335180378,13.772035669252528,0.0026361719014558567,,0.2747190419999974,25833672,3227412,0.6499721758486366,0.5274105948523823,0.6348630257224214,0.6716750139120757,0.6996197089999967,0.2929386660000013,1.2672774169999954,627.6776044938824,
digits_all,digits,dense_rbf,2.0,9.837168335180378,19.674336670360756,0.0012917242317133694,,0.20324333299999964,25833672,3227412,0.6516416249304396,0.5259781147485795,0.6344283497369625,0.6705620478575404,0.6444611669999993,0.27193583300000057,1.1196403329999995,641.9275262841272,
digits_all,digits,dense_rbf,3.0,9.837168335180378,29.51150500554113,0.0005740996585392754,,0.2893421670000009,25833672,3227412,0.6521981079577073,0.5252401583562514,0.6341918484174506,0.6705620478575404,0.7985849589999994,0.288453999999998,1.3763811259999983,647.2735505894457,
digits_all,digits,dense_rbf,5.0,9.837168335180378,49.18584167590189,0.00020667587707413914,,0.2072854580000012,25833672,3227412,0.674457429048414,0.5412881086834179,0.6467680770984426,0.6828046744574291,0.6658396250000003,0.2834680419999991,1.1565931250000006,648.81738027643,
digits_all,digits,knn_rbf,0.1,4.363738912583038,0.43637389125830384,2.625744639904654,10.0,0.005996791999997697,307408,25018,0.333889816360601,0.10932410195866864,0.1558394618297028,0.3344462993878687,1.3962594170000031,0.2822455830000017,1.6845017920000025,584.705563614904,
digits_all,digits,knn_rbf,0.2,4.363738912583038,0.8727477825166077,0.6564361599761634,10.0,0.006956750000000511,309328,25178,0.3144129104062326,0.10564481816727946,0.4116836920910906,0.32442960489705064,1.385424791000002,0.09956162499999976,1.4919431660000022,28.88105185081712,
digits_all,digits,knn_rbf,0.35,4.363738912583038,1.5273086194040633,0.2143465012167065,10.0,0.02372000000000085,310024,25236,0.5848636616583194,0.3834603950816967,0.7053971980378999,0.5948803561491375,1.7321703329999956,0.24835116599999907,2.0042414989999955,29.21830625027873,
digits_all,digits,knn_rbf,0.5,4.363738912583038,2.181869456291519,0.10502978559618617,10.0,0.0060757079999973485,310024,25236,0.7089593767390094,0.6097684405854885,0.7723552716390417,0.7245409015025042,0.5498202909999961,0.1980201669999957,0.7539161659999891,35.70866681297814,
digits_all,digits,knn_rbf,0.7,4.363738912583038,3.0546172388081265,0.05358662530417663,10.0,0.0077593329999956495,310024,25236,0.7545909849749582,0.6608625443358699,0.8163296119022019,0.7696160267111853,2.5311085419999984,0.2229692909999983,2.7618371659999923,65.39341650171868,
digits_all,digits,knn_rbf,0.7071067811865475,4.363738912583038,3.085629376415077,0.05251489279809309,10.0,0.006995625000001837,310024,25236,0.8430717863105175,0.7867231048334967,0.8482674814284635,0.8580968280467446,2.6037842909999966,0.17643958299999696,2.7872194989999954,73.19142688765938,
digits_all,digits,knn_rbf,1.0,4.363738912583038,4.363738912583038,0.026257446399046543,10.0,0.027315125000001217,310024,25236,0.781858653311074,0.7076393964551817,0.8087565826744845,0.796883695047301,2.6533975830000003,0.1604567500000016,2.841169458000003,107.77591176547156,
digits_all,digits,knn_rbf,1.4,4.363738912583038,6.109234477616253,0.013396656326044157,10.0,0.05953245900000326,310024,25236,0.7696160267111853,0.6972858464996199,0.8016081486435197,0.7868670005564831,0.6373380410000067,0.17430583400000188,0.8711763340000118,114.61493417729558,
digits_all,digits,knn_rbf,2.0,4.363738912583038,8.727477825166076,0.006564361599761636,10.0,0.021286291999999207,310024,25236,0.763494713411241,0.6907716684692253,0.7953374318004016,0.7829716193656093,0.6252694590000019,0.14068562500000326,0.7872413760000043,121.57592778286073,
digits_all,digits,knn_rbf,3.0,4.363738912583038,13.091216737749114,0.0029174940443385047,10.0,0.08555758400000002,310024,25236,0.7623817473567056,0.6903824140694239,0.7976306760845912,0.7835281023928771,0.6292249579999947,0.18774062500000355,0.9025231669999982,126.08796670952057,
digits_all,digits,knn_rbf,5.0,4.363738912583038,21.81869456291519,0.0010502978559618617,10.0,0.021727875000003394,310024,25236,0.7623817473567056,0.6905839102369442,0.7966359974269519,0.7835281023928771,0.687207542000003,0.09174933300000276,0.8006847500000092,129.35612209408123,
iris,real,dense_rbf,0.1,2.4980286517156456,0.24980286517156458,8.012631567787224,,0.0003445419999934529,180000,22350,0.6866666666666666,0.5621364251426576,0.7130987813117573,0.6866666666666666,0.0026382920000003196,0.011275000000004809,0.014257833999998581,0.005223860897530856,
iris,real,dense_rbf,0.2,2.4980286517156456,0.49960573034312916,2.003157891946806,,0.0006061670000008235,180000,22350,0.8466666666666667,0.6536925558315911,0.7489500874010819,0.8466666666666667,0.0034555830000044807,0.0848009999999988,0.0888627500000041,4.971633952209678,
iris,real,dense_rbf,0.35,2.4980286517156456,0.8743100281004759,0.65409237288059,,0.0003459590000005619,180000,22350,0.84,0.6211405739193607,0.6430956841676825,0.84,0.004008458000001269,0.018203999999997222,0.022558416999999054,12.710954659644733,
iris,real,dense_rbf,0.5,2.4980286517156456,1.2490143258578228,0.32050526271148905,,0.00034141599999770733,180000,22350,0.84,0.6211405739193607,0.6430956841676826,0.84,0.005673915999999224,0.010626542000004235,0.016641874000001167,14.31435303513982,
iris,real,dense_rbf,0.7,2.4980286517156456,1.7486200562009517,0.1635230932201475,,0.0037241660000049137,180000,22350,0.84,0.6211405739193607,0.6430956841676825,0.84,0.0029832500000068762,0.01623537500000083,0.02294279100001262,16.701454971038586,
iris,real,dense_rbf,0.7071067811865475,2.4980286517156456,1.7663729992264212,0.16025263135574455,,0.0006657919999994988,180000,22350,0.84,0.6211405739193607,0.6430956841676825,0.84,0.003646290999995472,0.011623749999998267,0.015935832999993238,16.767861739495245,
iris,real,dense_rbf,1.0,2.4980286517156456,2.4980286517156456,0.08012631567787226,,0.000609292000000039,180000,22350,0.82,0.5896890897890412,0.6225586471963948,0.82,0.003233291999997334,0.011787374999997269,0.015629958999994642,18.72035019161717,
iris,real,dense_rbf,1.4,2.4980286517156456,3.4972401124019035,0.04088077330503687,,0.00038970800000015515,180000,22350,0.8133333333333334,0.580252001964217,0.6162206156967887,0.8133333333333334,0.0018712919999970268,0.011496874999998852,0.013757874999996034,20.098504153528488,
iris,real,dense_rbf,2.0,2.4980286517156456,4.996057303431291,0.020031578919468065,,0.0004654590000043868,180000,22350,0.8133333333333334,0.580252001964217,0.6162206156967887,0.8133333333333334,0.0017001249999992751,0.012074334000004683,0.014239918000008345,20.91135123015097,
iris,real,dense_rbf,3.0,2.4980286517156456,7.494085955146937,0.00890292396420803,,0.0006078340000001958,180000,22350,0.8066666666666666,0.5712746462490358,0.610349738482192,0.8066666666666666,0.0031377090000006547,0.012666625000001375,0.016412168000002225,21.329279495912946,
iris,real,dense_rbf,5.0,2.4980286517156456,12.490143258578229,0.0032050526271148903,,0.0006096660000025622,180000,22350,0.8066666666666666,0.5712746462490358,0.610349738482192,0.8066666666666666,0.0032885829999997895,0.016599249999998733,0.020497499000001085,21.528103327320338,
iris,real,knn_rbf,0.1,0.5469757567515252,0.05469757567515252,167.12208634357333,12.0,0.0006592920000016989,28612,2334,0.6666666666666666,0.35929691250532514,0.3752919258308038,0.6666666666666666,1.5054028750000015,0.020945999999995024,1.5270081669999982,27.86872691624491,
iris,real,knn_rbf,0.2,0.5469757567515252,0.10939515135030504,41.78052158589333,12.0,0.0005874580000053697,28636,2336,0.68,0.5517553852833211,0.6899788289414182,0.68,1.129413041999996,0.0036598749999967595,1.133660374999998,0.635999728079498,
iris,real,knn_rbf,0.35,0.5469757567515252,0.19144151486303382,13.642619293352924,12.0,0.0005938329999963798,28636,2336,0.6866666666666666,0.5621364251426576,0.7130987813117573,0.6866666666666666,0.005130416999996612,0.0028152089999977647,0.008539458999990757,0.0008367787688934556,
